Usluga,Cena
Przegląd motocykla,150
Serwis podstawowy motocykla,200
Serwis gaźników motocyklowych (regulacja i czyszczenie),100
Diagnostyka komputerowa motocykli,80
Diagnostyka i naprawa układów zawieszeń motocykli,250
Diagnostyka i naprawa układów napędowych motocykli,300
Lakierowanie motocykli,400
Naprawa motocykli powypadkowych,500
Tuning motocykli,350
Tuning mechaniczny i elektroniczny motocykli,450
Programowanie i modyfikacje sterowników ECU,200
Montaż akcesoriów motocyklowych,100
Diagnostyka i naprawa układu elektrycznego motocykla,150
Diagnostyka i naprawa elementów elektronicznych motocykli,180
Serwis i naprawa motocykli cross i enduro,300
Serwis i naprawa pojazdów ATV/UTV,350
Wymiana przedniej opony w motocyklu,80
Serwis skuterów i motorowerów,150
Wymiana łańcucha i zębatek w motocyklu,120
Wymiana tarcz i klocków hamulcowych w motocyklu,150
Wymiana oleju i filtra oleju w motocyklu,50
Wymiana tylnej opony w motocyklu,70
Wymiana klocków hamulcowych w motocyklu,100
Wymiana akumulatora w motocyklu,150
