Usluga,Cena
Wymiana oleju i filtra oleju,100
Wymiana filtra powietrza,50
Wymiana filtra paliwa,70
Wymiana filtra kabinowego,60
Hamulce,150
Naprawa układu hamulcowego,200
Wymiana klocków hamulcowych,100
Wymiana tarcz hamulcowych,120
Wymiana szczęk hamulcowych,90
Wymiana cylinderków hamulcowych w samochodzie,80
Wymiana bębnów hamulcowych,100
Wymiana tarcz kotwicznych bębnów hamulcowych,110
Wymiana rozpieraczy,50
Wymiana linki hamulca ręcznego,70
Wymiana przewodów hamulcowych elastycznych,80
Wymiana przewodów hamulcowych metalowych,90
Wymiana pompy hamulcowej,120
Wymiana płynu hamulcowego,40
Naprawa ABS,250
Wymiana pompy ABS,300
Wymiana czujnika ABS,150
Weryfikacja układu hamulcowego,70
Zawieszenie,200
Wymiana drążka kierowniczego,120
Wymiana końcówki drążka kierowniczego,100
Wymiana maglownicy,300
Wymiana zwrotnicy koła,150
Wymiana krzyżaka kolumny kierowniczej,180
Wymiana pompy wspomagania,250
Wymiana płynu wspomagania kierownicy,40
Naprawa układu kierowniczego,200
Wymiana osłony elastycznej przekładni kierowniczej,80
Ustawienie geometrii i zbieżności kół,100
Wymiana stabilizatora,150
Wymiana łącznika stabilizatora,80
Wymiana tulejek gumy stabilizatora,90
Wymiana wahacza,180
Wymiana silentblocku wahacza,100
Wymiana sworznia wahacza,80
Wymiana amortyzatora,150
Wymiana łożyska amortyzatora,70
Wymiana poduszki amortyzatora,60
Wymiana osłony elastycznej amortyzatora,50
Wymiana sprężyn zawieszenia,120
Wymiana kolumny MacPhersona,200
Wymiana piasty,180
Wymiana łożyska w kole,100
Naprawa zawieszenia,250
Weryfikacja układu kierowniczego,80
Diagnostyka zawieszenia,100
Silnik,300
Wymiana paska wielorowkowego,80
Wymiana paska rozrządu,150
Wymiana łańcucha rozrządu,200
Wymiana płynu chłodniczego,60
Wymiana chłodnicy silnika,250
Wymiana czujnika temperatury,50
Wymiana termostatu,70
Naprawa wentylatora chłodnicy,100
Wymiana nagrzewnicy,120
Wymiana przewodów układu chłodzenia w samochodzie,80
Wymiana pompy wody,150
Wymiana sprzęgła wentylatora chłodnicy (wiskozy),180
Wymiana rezystora nagrzewnicy,70
